movement_id,mes_num,mes_nombre,porcentaje
68798c739b36b04cf0b7c2d0,11,Nov,7.7
68798c739b36b04cf0b7c2d0,12,Dic,7.8
68798c739b36b04cf0b7c2d1,1,Ene,7.2
68798c739b36b04cf0b7c2d1,2,Feb,6.7
68798c739b36b04cf0b7c2d1,3,Mar,8.3
68798c739b36b04cf0b7c2d1,4,Abr,8.1
68798c739b36b04cf0b7c2d1,5,May,8.6
68798c739b36b04cf0b7c2d1,6,Jun,8.7
68798c739b36b04cf0b7c2d1,7,Jul,10.3
68798c739b36b04cf0b7c2d1,8,Ago,10.2
68798c739b36b04cf0b7c2d1,9,Sep,8.7
68798c739b36b04cf0b7c2d1,10,Oct,8
68798c739b36b04cf0b7c2d1,11,Nov,7.7
68798c739b36b04cf0b7c2d1,12,Dic,7.5
68798c739b36b04cf0b7c2d2,1,Ene,7.4
68798c739b36b04cf0b7c2d2,2,Feb,6.7
68798c739b36b04cf0b7c2d2,3,Mar,8.1
68798c739b36b04cf0b7c2d2,4,Abr,7.9
68798c739b36b04cf0b7c2d2,5,May,8.4
68798c739b36b04cf0b7c2d2,6,Jun,8.6
68798c739b36b04cf0b7c2d2,7,Jul,9.9
68798c739b36b04cf0b7c2d2,8,Ago,9.7
68798c739b36b04cf0b7c2d2,9,Sep,8.6
68798c739b36b04cf0b7c2d2,10,Oct,8.3
68798c739b36b04cf0b7c2d2,11,Nov,8.1
68798c739b36b04cf0b7c2d2,12,Dic,8.3
68798c739b36b04cf0b7c2f5,1,Ene,7.6
68798c739b36b04cf0b7c2f5,2,Feb,6.9
68798c739b36b04cf0b7c2f5,3,Mar,8.5
68798c739b36b04cf0b7c2f5,4,Abr,8
68798c739b36b04cf0b7c2f5,5,May,8.5
68798c739b36b04cf0b7c2f5,6,Jun,8.6
68798c739b36b04cf0b7c2f5,7,Jul,9.7
68798c739b36b04cf0b7c2f5,8,Ago,9.5
68798c739b36b04cf0b7c2f5,9,Sep,8.2
68798c739b36b04cf0b7c2f5,10,Oct,8.3
68798c739b36b04cf0b7c2f5,11,Nov,8
68798c739b36b04cf0b7c2f5,12,Dic,8.2
68798c739b36b04cf0b7c2f6,1,Ene,7.9
68798c739b36b04cf0b7c2f6,2,Feb,6.9
68798c739b36b04cf0b7c2f6,3,Mar,8.2
68798c739b36b04cf0b7c2f6,4,Abr,9
68798c739b36b04cf0b7c2f6,5,May,8.7
68798c739b36b04cf0b7c2f6,6,Jun,8.3
68798c739b36b04cf0b7c2f6,7,Jul,9.3
68798c739b36b04cf0b7c2f6,8,Ago,9.1
68798c739b36b04cf0b7c2f6,9,Sep,8
68798c739b36b04cf0b7c2f6,10,Oct,8.3
68798c739b36b04cf0b7c2f6,11,Nov,8
68798c739b36b04cf0b7c2f6,12,Dic,8.3
68798c739b36b04cf0b7c2f7,1,Ene,8.5
68798c739b36b04cf0b7c2f7,2,Feb,7.9
68798c739b36b04cf0b7c2f7,3,Mar,7.7
68798c739b36b04cf0b7c2f7,4,Abr,8.9
68798c739b36b04cf0b7c2f7,5,May,8.7
68798c739b36b04cf0b7c2f7,6,Jun,8.8
68798c739b36b04cf0b7c2f7,7,Jul,9.2
68798c739b36b04cf0b7c2f7,8,Ago,9.2
68798c739b36b04cf0b7c2f7,9,Sep,7.8
68798c739b36b04cf0b7c2f7,10,Oct,7
68798c739b36b04cf0b7c2f7,11,Nov,8
68798c739b36b04cf0b7c2f7,12,Dic,8.3
68798c739b36b04cf0b7c2f8,1,Ene,6.8
68798c739b36b04cf0b7c2f8,2,Feb,7.2
68798c739b36b04cf0b7c2f8,3,Mar,7.9
68798c739b36b04cf0b7c2f8,4,Abr,11.1
68798c739b36b04cf0b7c2f8,5,May,8.6
68798c739b36b04cf0b7c2f8,6,Jun,8.2
68798c739b36b04cf0b7c2f8,7,Jul,9.6
68798c739b36b04cf0b7c2f8,8,Ago,9.8
68798c739b36b04cf0b7c2f8,9,Sep,7.5
68798c739b36b04cf0b7c2f8,10,Oct,7.1
68798c739b36b04cf0b7c2f8,11,Nov,8
68798c739b36b04cf0b7c2f8,12,Dic,8.2
68798c739b36b04cf0b7c2fb,1,Ene,7.4
68798c739b36b04cf0b7c2fb,2,Feb,6.8
68798c739b36b04cf0b7c2fb,3,Mar,8.1
68798c739b36b04cf0b7c2fb,4,Abr,8.1
68798c739b36b04cf0b7c2fb,5,May,8.5
68798c739b36b04cf0b7c2fb,6,Jun,8.6
68798c739b36b04cf0b7c2fb,7,Jul,9.6
68798c739b36b04cf0b7c2fb,8,Ago,9.3
68798c739b36b04cf0b7c2fb,9,Sep,8.2
68798c739b36b04cf0b7c2fb,10,Oct,8.5
68798c739b36b04cf0b7c2fb,11,Nov,8.2
68798c739b36b04cf0b7c2fb,12,Dic,8.7
68798c739b36b04cf0b7c2fa,1,Ene,7.2
68798c739b36b04cf0b7c2fa,2,Feb,6.8
68798c739b36b04cf0b7c2fa,3,Mar,8.2
68798c739b36b04cf0b7c2fa,4,Abr,7.8
68798c739b36b04cf0b7c2fa,5,May,8.7
68798c739b36b04cf0b7c2fa,6,Jun,8.9
68798c739b36b04cf0b7c2fa,7,Jul,9.6
68798c739b36b04cf0b7c2fa,8,Ago,9.4
68798c739b36b04cf0b7c2fa,9,Sep,8.3
68798c739b36b04cf0b7c2fa,10,Oct,8.4
68798c739b36b04cf0b7c2fa,11,Nov,7.9
68798c739b36b04cf0b7c2fa,12,Dic,8.8
68798c739b36b04cf0b7c2fc,1,Ene,4.8
68798c739b36b04cf0b7c2fc,2,Feb,5.2
68798c739b36b04cf0b7c2fc,3,Mar,7
68798c739b36b04cf0b7c2fc,4,Abr,8.7
68798c739b36b04cf0b7c2fc,5,May,10.6
68798c739b36b04cf0b7c2fc,6,Jun,10.6
68798c739b36b04cf0b7c2fc,7,Jul,10.9
68798c739b36b04cf0b7c2fc,8,Ago,11.4
68798c739b36b04cf0b7c2fc,9,Sep,10.1
68798c739b36b04cf0b7c2fc,10,Oct,9.3
68798c739b36b04cf0b7c2fc,11,Nov,8.1
68798c739b36b04cf0b7c2fc,12,Dic,3.3
68798c739b36b04cf0b7c2fd,1,Ene,8.8
68798c739b36b04cf0b7c2fd,2,Feb,8.7
68798c739b36b04cf0b7c2fd,3,Mar,8.4
68798c739b36b04cf0b7c2fd,4,Abr,8.3
68798c739b36b04cf0b7c2fd,5,May,8
68798c739b36b04cf0b7c2fd,6,Jun,8
68798c739b36b04cf0b7c2fd,7,Jul,8.6
68798c739b36b04cf0b7c2fd,8,Ago,8.5
68798c739b36b04cf0b7c2fd,9,Sep,8.3
68798c739b36b04cf0b7c2fd,10,Oct,8.6
68798c739b36b04cf0b7c2fd,11,Nov,8.7
68798c739b36b04cf0b7c2fd,12,Dic,7.1
68798c739b36b04cf0b7c2f9,1,Ene,7.7
68798c739b36b04cf0b7c2f9,2,Feb,7.3
68798c739b36b04cf0b7c2f9,3,Mar,8.5
68798c739b36b04cf0b7c2f9,4,Abr,8.8
68798c739b36b04cf0b7c2f9,5,May,8.6
68798c739b36b04cf0b7c2f9,6,Jun,8.5
68798c739b36b04cf0b7c2f9,7,Jul,9
68798c739b36b04cf0b7c2f9,8,Ago,8.9
68798c739b36b04cf0b7c2f9,9,Sep,7.9
68798c739b36b04cf0b7c2f9,10,Oct,8.5
68798c739b36b04cf0b7c2f9,11,Nov,8
68798c739b36b04cf0b7c2f9,12,Dic,8.3
68798c739b36b04cf0b7bfc7,1,Ene,8.6
68798c739b36b04cf0b7bfc7,2,Feb,8.5
68798c739b36b04cf0b7bfc7,3,Mar,9.4
68798c739b36b04cf0b7bfc7,4,Abr,8.5
68798c739b36b04cf0b7bfc7,5,May,8
68798c739b36b04cf0b7bfc7,6,Jun,8
68798c739b36b04cf0b7bfc7,7,Jul,8.6
68798c739b36b04cf0b7bfc7,8,Ago,7.9
68798c739b36b04cf0b7bfc7,9,Sep,6
68798c739b36b04cf0b7bfc7,10,Oct,8.3
68798c739b36b04cf0b7bfc7,11,Nov,9.2
68798c739b36b04cf0b7bfc7,12,Dic,9
68798c739b36b04cf0b7bfc8,1,Ene,7.9
68798c739b36b04cf0b7bfc8,2,Feb,7.9
68798c739b36b04cf0b7bfc8,3,Mar,9.1
68798c739b36b04cf0b7bfc8,4,Abr,8.6
68798c739b36b04cf0b7bfc8,5,May,7.9
68798c739b36b04cf0b7bfc8,6,Jun,8.3
68798c739b36b04cf0b7bfc8,7,Jul,8.6
68798c739b36b04cf0b7bfc8,8,Ago,7.8
68798c739b36b04cf0b7bfc8,9,Sep,6
68798c739b36b04cf0b7bfc8,10,Oct,8.5
68798c739b36b04cf0b7bfc8,11,Nov,9.4
68798c739b36b04cf0b7bfc8,12,Dic,10
68798c739b36b04cf0b7c2ff,1,Ene,9.1
68798c739b36b04cf0b7c2ff,2,Feb,9
68798c739b36b04cf0b7c2ff,3,Mar,10.1
68798c739b36b04cf0b7c2ff,4,Abr,8.8
68798c739b36b04cf0b7c2ff,5,May,8.4
68798c739b36b04cf0b7c2ff,6,Jun,8.3
68798c739b36b04cf0b7c2ff,7,Jul,7.9
68798c739b36b04cf0b7c2ff,8,Ago,7.1
68798c739b36b04cf0b7c2ff,9,Sep,6.2
68798c739b36b04cf0b7c2ff,10,Oct,8.9
68798c739b36b04cf0b7c2ff,11,Nov,8.4
68798c739b36b04cf0b7c2ff,12,Dic,7.8
68798c739b36b04cf0b7bfc9,1,Ene,9.2
68798c739b36b04cf0b7bfc9,2,Feb,9.3
68798c739b36b04cf0b7bfc9,3,Mar,9.7
68798c739b36b04cf0b7bfc9,4,Abr,8.6
68798c739b36b04cf0b7bfc9,5,May,8.5
68798c739b36b04cf0b7bfc9,6,Jun,8.3
68798c739b36b04cf0b7bfc9,7,Jul,8
68798c739b36b04cf0b7bfc9,8,Ago,6.9
68798c739b36b04cf0b7bfc9,9,Sep,6.1
68798c739b36b04cf0b7bfc9,10,Oct,9.2
68798c739b36b04cf0b7bfc9,11,Nov,8
68798c739b36b04cf0b7bfc9,12,Dic,8.2
68798c739b36b04cf0b7bfca,1,Ene,7.9
68798c739b36b04cf0b7bfca,2,Feb,8.5
68798c739b36b04cf0b7bfca,3,Mar,8.5
68798c739b36b04cf0b7bfca,4,Abr,9.4
68798c739b36b04cf0b7bfca,5,May,7.5
68798c739b36b04cf0b7bfca,6,Jun,6.8
68798c739b36b04cf0b7bfca,7,Jul,6.7
68798c739b36b04cf0b7bfca,8,Ago,6.5
68798c739b36b04cf0b7bfca,9,Sep,5.8
68798c739b36b04cf0b7bfca,10,Oct,8.4
68798c739b36b04cf0b7bfca,11,Nov,12.8
68798c739b36b04cf0b7bfca,12,Dic,11.2
68798c739b36b04cf0b7bfcb,1,Ene,7.2
68798c739b36b04cf0b7bfcb,2,Feb,7.4
68798c739b36b04cf0b7bfcb,3,Mar,8.4
68798c739b36b04cf0b7bfcb,4,Abr,8.5
68798c739b36b04cf0b7bfcb,5,May,8.2
68798c739b36b04cf0b7bfcb,6,Jun,8.4
68798c739b36b04cf0b7bfcb,7,Jul,8.7
68798c739b36b04cf0b7bfcb,8,Ago,7.9
68798c739b36b04cf0b7bfcb,9,Sep,6.6
68798c739b36b04cf0b7bfcb,10,Oct,8.8
68798c739b36b04cf0b7bfcb,11,Nov,9.8
68798c739b36b04cf0b7bfcb,12,Dic,10.1
68798c739b36b04cf0b7c261,1,Ene,8.3
68798c739b36b04cf0b7c261,2,Feb,8.9
68798c739b36b04cf0b7c261,3,Mar,7.6
68798c739b36b04cf0b7c261,4,Abr,9.5
68798c739b36b04cf0b7c261,5,May,7.2
68798c739b36b04cf0b7c261,6,Jun,7.1
68798c739b36b04cf0b7c261,7,Jul,8
68798c739b36b04cf0b7c261,8,Ago,6
68798c739b36b04cf0b7c261,9,Sep,5.8
68798c739b36b04cf0b7c261,10,Oct,7.4
68798c739b36b04cf0b7c261,11,Nov,13.4
68798c739b36b04cf0b7c261,12,Dic,10.8
68798c739b36b04cf0b7c262,1,Ene,8.1
68798c739b36b04cf0b7c262,2,Feb,8.1
68798c739b36b04cf0b7c262,3,Mar,9.4
68798c739b36b04cf0b7c262,4,Abr,8.5
68798c739b36b04cf0b7c262,5,May,8.1
68798c739b36b04cf0b7c262,6,Jun,8.4
68798c739b36b04cf0b7c262,7,Jul,8.8
68798c739b36b04cf0b7c262,8,Ago,7.9
68798c739b36b04cf0b7c262,9,Sep,6.3
68798c739b36b04cf0b7c262,10,Oct,8.6
68798c739b36b04cf0b7c262,11,Nov,8.8
68798c739b36b04cf0b7c262,12,Dic,9
68798c739b36b04cf0b7c263,1,Ene,9.2
68798c739b36b04cf0b7c263,2,Feb,8.8
68798c739b36b04cf0b7c263,3,Mar,8.7
68798c739b36b04cf0b7c263,4,Abr,7.7
68798c739b36b04cf0b7c263,5,May,7.3
68798c739b36b04cf0b7c263,6,Jun,7.3
68798c739b36b04cf0b7c263,7,Jul,7.2
68798c739b36b04cf0b7c263,8,Ago,7.2
68798c739b36b04cf0b7c263,9,Sep,6.6
68798c739b36b04cf0b7c263,10,Oct,9.9
68798c739b36b04cf0b7c263,11,Nov,10.5
68798c739b36b04cf0b7c263,12,Dic,9.6
68798c739b36b04cf0b7c264,1,Ene,8.2
68798c739b36b04cf0b7c264,2,Feb,8.5
68798c739b36b04cf0b7c264,3,Mar,8.9
68798c739b36b04cf0b7c264,4,Abr,8.5
68798c739b36b04cf0b7c264,5,May,8
68798c739b36b04cf0b7c264,6,Jun,8
68798c739b36b04cf0b7c264,7,Jul,8.3
68798c739b36b04cf0b7c264,8,Ago,7.7
68798c739b36b04cf0b7c264,9,Sep,6.5
68798c739b36b04cf0b7c264,10,Oct,7.8
68798c739b36b04cf0b7c264,11,Nov,9.7
68798c739b36b04cf0b7c264,12,Dic,9.9
68798c739b36b04cf0b7c265,1,Ene,8.2
68798c739b36b04cf0b7c265,2,Feb,8.6
68798c739b36b04cf0b7c265,3,Mar,9.5
68798c739b36b04cf0b7c265,4,Abr,8.5
68798c739b36b04cf0b7c265,5,May,7.7
68798c739b36b04cf0b7c265,6,Jun,7.8
68798c739b36b04cf0b7c265,7,Jul,8.3
68798c739b36b04cf0b7c265,8,Ago,7.7
68798c739b36b04cf0b7c265,9,Sep,5.9
68798c739b36b04cf0b7c265,10,Oct,8.4
68798c739b36b04cf0b7c265,11,Nov,9.4
68798c739b36b04cf0b7c265,12,Dic,10
68798c739b36b04cf0b7c266,1,Ene,8.2
68798c739b36b04cf0b7c266,2,Feb,8.7
68798c739b36b04cf0b7c266,3,Mar,8.8
68798c739b36b04cf0b7c266,4,Abr,8.5
68798c739b36b04cf0b7c266,5,May,7.2
68798c739b36b04cf0b7c266,6,Jun,7.4
68798c739b36b04cf0b7c266,7,Jul,7.2
68798c739b36b04cf0b7c266,8,Ago,7.4
68798c739b36b04cf0b7c266,9,Sep,6.3
68798c739b36b04cf0b7c266,10,Oct,8.7
68798c739b36b04cf0b7c266,11,Nov,11.6
68798c739b36b04cf0b7c266,12,Dic,10
68798c739b36b04cf0b7c045,1,Ene,8.7
68798c739b36b04cf0b7c045,2,Feb,7.8
68798c739b36b04cf0b7c045,3,Mar,9
68798c739b36b04cf0b7c045,4,Abr,8.1
68798c739b36b04cf0b7c045,5,May,8.1
68798c739b36b04cf0b7c045,6,Jun,7.5
