movement_id,periodo,valor,porc
68798c739b36b04cf0b7c234,Jun,9.3,57.37012987013
68798c739b36b04cf0b7c234,Jul,10.3,63.538961038961
68798c739b36b04cf0b7c234,Ago,8.3,51.201298701299
68798c739b36b04cf0b7c234,Sep,7.1,43.798701298701
68798c739b36b04cf0b7c234,Oct,7.3,45.032467532468
68798c739b36b04cf0b7c234,Nov,5.6,34.545454545455
68798c739b36b04cf0b7c234,Dic,5.2,32.077922077922
68798c739b36b04cf0b7c2cf,Ene,8.4,86.739130434783
68798c739b36b04cf0b7c2cf,Feb,7.3,75.380434782609
68798c739b36b04cf0b7c2cf,Mar,8.1,83.641304347826
68798c739b36b04cf0b7c2cf,Abr,8,82.608695652174
68798c739b36b04cf0b7c2cf,May,8.5,87.771739130435
68798c739b36b04cf0b7c2cf,Jun,8.6,88.804347826087
68798c739b36b04cf0b7c2cf,Jul,9,92.934782608696
68798c739b36b04cf0b7c2cf,Ago,9.2,95
68798c739b36b04cf0b7c2cf,Sep,8.7,89.836956521739
68798c739b36b04cf0b7c2cf,Oct,8.7,89.836956521739
68798c739b36b04cf0b7c2cf,Nov,7.6,78.478260869565
68798c739b36b04cf0b7c2cf,Dic,7.9,81.576086956522
68798c739b36b04cf0b7c2d0,Ene,7.3,68.663366336634
68798c739b36b04cf0b7c2d0,Feb,6.7,63.019801980198
68798c739b36b04cf0b7c2d0,Mar,8.2,77.128712871287
68798c739b36b04cf0b7c2d0,Abr,7.8,73.366336633663
68798c739b36b04cf0b7c2d0,May,8.5,79.950495049505
68798c739b36b04cf0b7c2d0,Jun,8.9,83.712871287129
68798c739b36b04cf0b7c2d0,Jul,10.1,95
68798c739b36b04cf0b7c2d0,Ago,9.9,93.118811881188
68798c739b36b04cf0b7c2d0,Sep,8.8,82.772277227723
68798c739b36b04cf0b7c2d0,Oct,8.3,78.069306930693
68798c739b36b04cf0b7c2d0,Nov,7.7,72.425742574257
68798c739b36b04cf0b7c2d0,Dic,7.8,73.366336633663
68798c739b36b04cf0b7c2d1,Ene,7.2,66.407766990291
68798c739b36b04cf0b7c2d1,Feb,6.7,61.796116504854
68798c739b36b04cf0b7c2d1,Mar,8.3,76.553398058252
68798c739b36b04cf0b7c2d1,Abr,8.1,74.708737864078
