station_id,dia_num,dia_nombre,valor,porc
687a5e5d9b36b04cf0b805a3,1,Lun,97.8,85.473781048758
687a5e5d9b36b04cf0b805a3,2,Mar,102.6,89.66881324747
687a5e5d9b36b04cf0b805a3,3,Mie,98.6,86.172953081877
687a5e5d9b36b04cf0b805a3,4,Jue,94,82.152713891444
687a5e5d9b36b04cf0b805a3,5,Vie,106.8,93.339466421343
687a5e5d9b36b04cf0b805a3,6,Sab,108.7,95
687a5e5d9b36b04cf0b805a3,7,Dom,91.5,79.967801287948
687a5e5d9b36b04cf0b805a6,1,Lun,97.8,68.467207074429
687a5e5d9b36b04cf0b805a6,2,Mar,87.9,61.53647752395
687a5e5d9b36b04cf0b805a6,3,Mie,79.1,55.375829034635
687a5e5d9b36b04cf0b805a6,4,Jue,84.1,58.876197494473
687a5e5d9b36b04cf0b805a6,5,Vie,96.9,67.837140751658
687a5e5d9b36b04cf0b805a6,6,Sab,118.5,82.958732498158
687a5e5d9b36b04cf0b805a6,7,Dom,135.7,95
687a5e5d9b36b04cf0b805a9,1,Lun,103.8,91.901211556384
687a5e5d9b36b04cf0b805a9,2,Mar,93.6,82.87045666356
687a5e5d9b36b04cf0b805a9,3,Mie,94.4,83.578751164958
687a5e5d9b36b04cf0b805a9,4,Jue,98.1,86.854613233924
687a5e5d9b36b04cf0b805a9,5,Vie,106.2,94.026095060578
687a5e5d9b36b04cf0b805a9,6,Sab,107.3,95
687a5e5d9b36b04cf0b805a9,7,Dom,96.6,85.526561043802
687a5e5d9b36b04cf0b806eb,1,Lun,99.6,76.429725363489
687a5e5d9b36b04cf0b806eb,2,Mar,95.9,73.590468497577
687a5e5d9b36b04cf0b806eb,3,Mie,94.4,72.439418416801
687a5e5d9b36b04cf0b806eb,4,Jue,88.1,67.605008077544
687a5e5d9b36b04cf0b806eb,5,Vie,90.8,69.67689822294
687a5e5d9b36b04cf0b806eb,6,Sab,107.4,82.415185783522
687a5e5d9b36b04cf0b806eb,7,Dom,123.8,95
687a5e5d9b36b04cf0b806ec,1,Lun,100.2,70.354767184035
687a5e5d9b36b04cf0b806ec,2,Mar,96.2,67.546193643755
687a5e5d9b36b04cf0b806ec,3,Mie,94.8,66.563192904656
687a5e5d9b36b04cf0b806ec,4,Jue,87.4,61.367331855137
687a5e5d9b36b04cf0b806ec,5,Vie,88,61.788617886179
687a5e5d9b36b04cf0b806ec,6,Sab,98.2,68.950480413895
687a5e5d9b36b04cf0b806ec,7,Dom,135.3,95
687a5e5d9b36b04cf0b806ef,1,Lun,90.8,63.055555555556
687a5e5d9b36b04cf0b806ef,2,Mar,89.5,62.152777777778
687a5e5d9b36b04cf0b806ef,3,Mie,88.6,61.527777777778
687a5e5d9b36b04cf0b806ef,4,Jue,87.5,60.763888888889
687a5e5d9b36b04cf0b806ef,5,Vie,101.2,70.277777777778
687a5e5d9b36b04cf0b806ef,6,Sab,105.6,73.333333333333
687a5e5d9b36b04cf0b806ef,7,Dom,136.8,95
687a5e5d9b36b04cf0b8000b,1,Lun,97.1,85.175438596491
687a5e5d9b36b04cf0b8000b,2,Mar,100.5,88.157894736842
687a5e5d9b36b04cf0b8000b,3,Mie,108.3,95
687a5e5d9b36b04cf0b8000b,4,Jue,104.9,92.017543859649
687a5e5d9b36b04cf0b8000b,5,Vie,102.9,90.263157894737
687a5e5d9b36b04cf0b8000b,6,Sab,91.5,80.263157894737
687a5e5d9b36b04cf0b8000b,7,Dom,94.9,83.245614035088
687a5e5d9b36b04cf0b8000c,1,Lun,104.7,95
687a5e5d9b36b04cf0b8000c,2,Mar,102.1,92.640878701051
687a5e5d9b36b04cf0b8000c,3,Mie,101.1,91.733524355301
687a5e5d9b36b04cf0b8000c,4,Jue,102.5,93.003820439351
687a5e5d9b36b04cf0b8000c,5,Vie,103.7,94.09264565425
687a5e5d9b36b04cf0b8000c,6,Sab,97.3,88.285577841452
687a5e5d9b36b04cf0b8000c,7,Dom,88.6,80.391595033429
687a5e5d9b36b04cf0b8000d,1,Lun,101.8,90.637300843486
687a5e5d9b36b04cf0b8000d,2,Mar,101.1,90.014058106842
687a5e5d9b36b04cf0b8000d,3,Mie,101.4,90.281162136832
687a5e5d9b36b04cf0b8000d,4,Jue,94.6,84.226804123711
687a5e5d9b36b04cf0b8000d,5,Vie,99.6,88.678537956888
687a5e5d9b36b04cf0b8000d,6,Sab,106.7,95
687a5e5d9b36b04cf0b8000d,7,Dom,94.8,84.404873477038
687a5e5d9b36b04cf0b807fa,1,Lun,100,88.619402985075
687a5e5d9b36b04cf0b807fa,2,Mar,98.6,87.378731343284
687a5e5d9b36b04cf0b807fa,3,Mie,103.6,91.809701492537
687a5e5d9b36b04cf0b807fa,4,Jue,99.2,87.910447761194
687a5e5d9b36b04cf0b807fa,5,Vie,107.2,95
687a5e5d9b36b04cf0b807fa,6,Sab,102.7,91.012126865672
687a5e5d9b36b04cf0b807fa,7,Dom,88.7,78.605410447761
687a5e5d9b36b04cf0b80817,1,Lun,96.2,79.746945898778
687a5e5d9b36b04cf0b80817,2,Mar,96.7,80.161431064572
687a5e5d9b36b04cf0b80817,3,Mie,94.7,78.503490401396
687a5e5d9b36b04cf0b80817,4,Jue,98.8,81.902268760908
687a5e5d9b36b04cf0b80817,5,Vie,98.7,81.819371727749
687a5e5d9b36b04cf0b80817,6,Sab,114.6,95
687a5e5d9b36b04cf0b80817,7,Dom,100.3,83.14572425829
687a5e5d9b36b04cf0b80818,1,Lun,101.7,88.637614678899
687a5e5d9b36b04cf0b80818,2,Mar,92.6,80.706422018349
687a5e5d9b36b04cf0b80818,3,Mie,95.4,83.146788990826
687a5e5d9b36b04cf0b80818,4,Jue,97,84.54128440367
687a5e5d9b36b04cf0b80818,5,Vie,100.3,87.417431192661
687a5e5d9b36b04cf0b80818,6,Sab,109,95
687a5e5d9b36b04cf0b80818,7,Dom,104,90.642201834862
687a5e5d9b36b04cf0b80819,1,Lun,100.2,85.448833034111
687a5e5d9b36b04cf0b80819,2,Mar,98.4,83.913824057451
687a5e5d9b36b04cf0b80819,3,Mie,94.8,80.843806104129
687a5e5d9b36b04cf0b80819,4,Jue,95.4,81.355475763016
687a5e5d9b36b04cf0b80819,5,Vie,95.4,81.355475763016
687a5e5d9b36b04cf0b80819,6,Sab,111.4,95
687a5e5d9b36b04cf0b80819,7,Dom,104.4,89.03052064632
687a5e5d9b36b04cf0b80be1,1,Lun,102.9,92.658767772512
687a5e5d9b36b04cf0b80be1,2,Mar,103.2,92.928909952607
687a5e5d9b36b04cf0b80be1,3,Mie,103.8,93.469194312796
687a5e5d9b36b04cf0b80be1,4,Jue,105.5,95
687a5e5d9b36b04cf0b80be1,5,Vie,101.5,91.398104265403
687a5e5d9b36b04cf0b80be1,6,Sab,101.5,91.398104265403
687a5e5d9b36b04cf0b80be1,7,Dom,81.6,73.478672985782
687a5e5d9b36b04cf0b80be3,1,Lun,103.3,93.107210626186
687a5e5d9b36b04cf0b80be3,2,Mar,98.6,88.870967741935
687a5e5d9b36b04cf0b80be3,3,Mie,98.3,88.600569259962
687a5e5d9b36b04cf0b80be3,4,Jue,102.5,92.38614800759
687a5e5d9b36b04cf0b80be3,5,Vie,105.4,95
687a5e5d9b36b04cf0b80be3,6,Sab,105.2,94.819734345351
687a5e5d9b36b04cf0b80be3,7,Dom,86.7,78.145161290323
687a5e5d9b36b04cf0b80c0f,1,Lun,99.8,83.754416961131
687a5e5d9b36b04cf0b80c0f,2,Mar,94.8,79.558303886926
687a5e5d9b36b04cf0b80c0f,3,Mie,93.3,78.299469964664
687a5e5d9b36b04cf0b80c0f,4,Jue,97.8,82.075971731449
687a5e5d9b36b04cf0b80c0f,5,Vie,104.2,87.446996466431
687a5e5d9b36b04cf0b80c0f,6,Sab,113.2,95
687a5e5d9b36b04cf0b80c0f,7,Dom,96.8,81.236749116608
687a5e5d9b36b04cf0b80ddf,1,Lun,101.8,90.130475302889
687a5e5d9b36b04cf0b80ddf,2,Mar,98.4,87.120223671948
687a5e5d9b36b04cf0b80ddf,3,Mie,99.2,87.828518173346
687a5e5d9b36b04cf0b80ddf,4,Jue,107.3,95
687a5e5d9b36b04cf0b80ddf,5,Vie,105.8,93.671947809879
687a5e5d9b36b04cf0b80ddf,6,Sab,104,92.078285181733
687a5e5d9b36b04cf0b80ddf,7,Dom,83.4,73.839701770736
687a5e5d9b36b04cf0b80de0,1,Lun,101,87.94683776352
687a5e5d9b36b04cf0b80de0,2,Mar,101.6,88.469294225481
687a5e5d9b36b04cf0b80de0,3,Mie,108.3,94.303391384051
687a5e5d9b36b04cf0b80de0,4,Jue,107,93.171402383135
687a5e5d9b36b04cf0b80de0,5,Vie,109.1,95
687a5e5d9b36b04cf0b80de0,6,Sab,101.6,88.469294225481
687a5e5d9b36b04cf0b80de0,7,Dom,71.4,62.172318973419
687a5e5d9b36b04cf0b80de2,1,Lun,101.6,86.410026857654
687a5e5d9b36b04cf0b80de2,2,Mar,98.5,83.773500447628
687a5e5d9b36b04cf0b80de2,3,Mie,96.9,82.412712623098
687a5e5d9b36b04cf0b80de2,4,Jue,101.7,86.495076096688
687a5e5d9b36b04cf0b80de2,5,Vie,104.3,88.706356311549
687a5e5d9b36b04cf0b80de2,6,Sab,111.7,95
687a5e5d9b36b04cf0b80de2,7,Dom,85.3,72.547000895255
687a5e5d9b36b04cf0b806e5,1,Lun,107.5,94.735621521336
687a5e5d9b36b04cf0b806e5,2,Mar,103,90.769944341373
687a5e5d9b36b04cf0b806e5,3,Mie,100.5,88.566790352505
687a5e5d9b36b04cf0b806e5,4,Jue,106,93.413729128015
687a5e5d9b36b04cf0b806e5,5,Vie,107.5,94.735621521336
687a5e5d9b36b04cf0b806e5,6,Sab,107.8,95
687a5e5d9b36b04cf0b806e5,7,Dom,67.7,59.661410018553
687a5e5d9b36b04cf0b806e8,1,Lun,99.3,86.229433272395
687a5e5d9b36b04cf0b806e8,2,Mar,101,87.705667276051
687a5e5d9b36b04cf0b806e8,3,Mie,100.6,87.35831809872
687a5e5d9b36b04cf0b806e8,4,Jue,103,89.442413162706
687a5e5d9b36b04cf0b806e8,5,Vie,109.4,95
687a5e5d9b36b04cf0b806e8,6,Sab,101.9,88.487202925046
687a5e5d9b36b04cf0b806e8,7,Dom,84.9,73.724862888483
687a5e5d9b36b04cf0b806ea,1,Lun,85.7,73.745471014493
687a5e5d9b36b04cf0b806ea,2,Mar,99.5,85.620471014493
687a5e5d9b36b04cf0b806ea,3,Mie,97.3,83.727355072464
687a5e5d9b36b04cf0b806ea,4,Jue,93.5,80.457427536232
687a5e5d9b36b04cf0b806ea,5,Vie,104.9,90.267210144928
687a5e5d9b36b04cf0b806ea,6,Sab,108.7,93.537137681159
687a5e5d9b36b04cf0b806ea,7,Dom,110.4,95
687a5e5e9b36b04cf0b81486,1,Lun,99.3,83.40848806366
687a5e5e9b36b04cf0b81486,2,Mar,108,90.716180371353
687a5e5e9b36b04cf0b81486,3,Mie,113.1,95
687a5e5e9b36b04cf0b81486,4,Jue,108.4,91.05216622458
687a5e5e9b36b04cf0b81486,5,Vie,112.9,94.832007073386
687a5e5e9b36b04cf0b81486,6,Sab,88.6,74.420866489832
687a5e5e9b36b04cf0b81486,7,Dom,69.8,58.629531388152
687a5e5e9b36b04cf0b81487,1,Lun,99.1,87.495353159851
687a5e5e9b36b04cf0b81487,2,Mar,94.8,83.698884758364
687a5e5e9b36b04cf0b81487,3,Mie,100.1,88.378252788104
687a5e5e9b36b04cf0b81487,4,Jue,97.7,86.259293680297
687a5e5e9b36b04cf0b81487,5,Vie,107.6,95
687a5e5e9b36b04cf0b81487,6,Sab,102.3,90.32063197026
