station_id,year,tdpa
687a5e5d9b36b04cf0b80bd6,2019,23429
687a5e5d9b36b04cf0b80bd6,2018,19911
687a5e5d9b36b04cf0b80bd6,2017,26130
687a5e5d9b36b04cf0b80bd6,2016,23466
687a5e5d9b36b04cf0b80bd6,2015,22561
687a5e5d9b36b04cf0b80bd6,2014,17183
687a5e5d9b36b04cf0b80bd6,2013,17239
687a5e5d9b36b04cf0b80bd6,2012,17684
687a5e5d9b36b04cf0b80bd6,2011,18068
687a5e5d9b36b04cf0b80bd6,2010,15995
687a5e5d9b36b04cf0b80bd7,2024,34722
687a5e5d9b36b04cf0b80bd7,2023,33278
687a5e5d9b36b04cf0b80bd7,2022,28854
687a5e5d9b36b04cf0b80bd7,2021,22590
687a5e5d9b36b04cf0b80bd7,2020,20712
687a5e5d9b36b04cf0b80bd7,2019,22516
687a5e5d9b36b04cf0b80bd7,2018,19926
687a5e5d9b36b04cf0b80bd7,2017,25652
687a5e5d9b36b04cf0b80bd7,2016,22691
687a5e5d9b36b04cf0b80bd7,2015,23191
687a5e5d9b36b04cf0b80bd7,2014,18813
687a5e5d9b36b04cf0b80bd7,2013,17216
687a5e5d9b36b04cf0b80bd7,2012,17796
687a5e5d9b36b04cf0b80bd7,2011,18463
687a5e5d9b36b04cf0b80bd7,2010,15174
687a5e5d9b36b04cf0b80bd8,2024,13909
687a5e5d9b36b04cf0b80bd8,2023,13606
687a5e5d9b36b04cf0b80bd8,2022,13199
687a5e5d9b36b04cf0b80bd8,2021,12488
687a5e5d9b36b04cf0b80bd8,2020,9929
687a5e5d9b36b04cf0b80bd8,2019,11764
687a5e5d9b36b04cf0b80bd8,2018,12974
687a5e5d9b36b04cf0b80bd8,2017,13367
687a5e5d9b36b04cf0b80bd8,2016,11578
687a5e5d9b36b04cf0b80bd8,2015,11533
687a5e5d9b36b04cf0b80bd8,2014,9573
687a5e5d9b36b04cf0b80bd8,2013,10468
687a5e5d9b36b04cf0b80bd8,2012,9567
687a5e5d9b36b04cf0b80bd8,2011,9350
687a5e5d9b36b04cf0b80bd8,2010,7865
687a5e5d9b36b04cf0b80bd9,2024,13567
687a5e5d9b36b04cf0b80bd9,2023,13236
687a5e5d9b36b04cf0b80bd9,2022,13591
687a5e5d9b36b04cf0b80bd9,2021,13599
687a5e5d9b36b04cf0b80bd9,2020,11171
687a5e5d9b36b04cf0b80bd9,2019,13306
687a5e5d9b36b04cf0b80bd9,2018,12110
687a5e5d9b36b04cf0b80bd9,2017,12686
687a5e5d9b36b04cf0b80bd9,2016,11712
687a5e5d9b36b04cf0b80bd9,2015,12365
687a5e5d9b36b04cf0b80bd9,2014,11328
687a5e5d9b36b04cf0b80bd9,2013,10969
687a5e5d9b36b04cf0b80bd9,2012,9817
687a5e5d9b36b04cf0b80bd9,2011,9155
687a5e5d9b36b04cf0b80bd9,2010,7891
687a5e5d9b36b04cf0b80bda,2024,12378
687a5e5d9b36b04cf0b80bda,2023,12044
687a5e5d9b36b04cf0b80bda,2022,11994
687a5e5d9b36b04cf0b80bda,2021,10812
687a5e5d9b36b04cf0b80bda,2020,9956
687a5e5d9b36b04cf0b80bda,2019,12366
687a5e5d9b36b04cf0b80bda,2018,12988
687a5e5d9b36b04cf0b80bda,2017,13386
687a5e5d9b36b04cf0b80bda,2016,10987
687a5e5d9b36b04cf0b80bda,2015,10886
687a5e5d9b36b04cf0b80bda,2014,9643
687a5e5d9b36b04cf0b80bda,2013,10676
687a5e5d9b36b04cf0b80bda,2012,10177
687a5e5d9b36b04cf0b80bda,2011,10130
687a5e5d9b36b04cf0b80bda,2010,10991
687a5e5d9b36b04cf0b80bdb,2024,12185
687a5e5d9b36b04cf0b80bdb,2023,11571
687a5e5d9b36b04cf0b80bdb,2022,11772
687a5e5d9b36b04cf0b80bdb,2021,10770
687a5e5d9b36b04cf0b80bdb,2020,10050
687a5e5d9b36b04cf0b80bdb,2019,12259
687a5e5d9b36b04cf0b80bdb,2018,12696
687a5e5d9b36b04cf0b80bdb,2017,13405
687a5e5d9b36b04cf0b80bdb,2016,10840
687a5e5d9b36b04cf0b80bdb,2015,10364
687a5e5d9b36b04cf0b80bdb,2014,10210
687a5e5d9b36b04cf0b80bdb,2013,11131
687a5e5d9b36b04cf0b80bdb,2012,10709
687a5e5d9b36b04cf0b80bdb,2011,10313
687a5e5d9b36b04cf0b80bdb,2010,11813
687a5e5d9b36b04cf0b80bdc,2024,5527
687a5e5d9b36b04cf0b80bdc,2023,5317
687a5e5d9b36b04cf0b80bdc,2022,5233
687a5e5d9b36b04cf0b80bdc,2021,5132
687a5e5d9b36b04cf0b80bdc,2020,4493
687a5e5d9b36b04cf0b80bdc,2019,4906
687a5e5d9b36b04cf0b80bdc,2018,4735
687a5e5d9b36b04cf0b80bdc,2017,4846
687a5e5d9b36b04cf0b80bdc,2016,4354
687a5e5d9b36b04cf0b80bdc,2015,4299
687a5e5d9b36b04cf0b80bdc,2014,4210
687a5e5d9b36b04cf0b80bdc,2013,4193
687a5e5d9b36b04cf0b80bdc,2012,4158
687a5e5d9b36b04cf0b80bdc,2011,4004
687a5e5d9b36b04cf0b80bdc,2010,6554
687a5e5d9b36b04cf0b80bdd,2024,3724
687a5e5d9b36b04cf0b80bdd,2023,3445
687a5e5d9b36b04cf0b80bdd,2022,3411
687a5e5d9b36b04cf0b80bdd,2021,3422
687a5e5d9b36b04cf0b80bdd,2020,3132
687a5e5d9b36b04cf0b80bdd,2019,3271
687a5e5d9b36b04cf0b80bdd,2018,3247
687a5e5d9b36b04cf0b80bdd,2017,3243
687a5e5d9b36b04cf0b80bdd,2016,3184
687a5e5d9b36b04cf0b80bdd,2015,3309
687a5e5d9b36b04cf0b80bdd,2014,3398
687a5e5d9b36b04cf0b80bdd,2013,3354
687a5e5d9b36b04cf0b80bdd,2012,3721
687a5e5d9b36b04cf0b80bdd,2011,3800
687a5e5d9b36b04cf0b80bdd,2010,3270
687a5e5d9b36b04cf0b805a3,2024,3969
687a5e5d9b36b04cf0b805a3,2023,4003
687a5e5d9b36b04cf0b805a3,2022,3967
687a5e5d9b36b04cf0b805a3,2021,4027
687a5e5d9b36b04cf0b805a3,2020,2948
687a5e5d9b36b04cf0b805a3,2019,3850
687a5e5d9b36b04cf0b805a3,2018,3712
687a5e5d9b36b04cf0b805a3,2017,3888
687a5e5d9b36b04cf0b805a3,2016,3475
687a5e5d9b36b04cf0b805a3,2015,3587
687a5e5d9b36b04cf0b805a3,2014,3219
687a5e5d9b36b04cf0b805a3,2013,3089
687a5e5d9b36b04cf0b805a3,2012,2893
687a5e5d9b36b04cf0b805a3,2011,2878
687a5e5d9b36b04cf0b805a3,2010,2629
687a5e5d9b36b04cf0b805a4,2024,3941
687a5e5d9b36b04cf0b805a4,2023,4341
687a5e5d9b36b04cf0b805a4,2022,4239
687a5e5d9b36b04cf0b805a4,2021,4269
687a5e5d9b36b04cf0b805a4,2020,3809
687a5e5d9b36b04cf0b805a4,2019,4081
687a5e5d9b36b04cf0b805a4,2018,3828
687a5e5d9b36b04cf0b805a4,2017,3686
687a5e5d9b36b04cf0b805a4,2016,3629
687a5e5d9b36b04cf0b805a4,2015,3180
687a5e5d9b36b04cf0b805a4,2014,2994
687a5e5d9b36b04cf0b805a4,2013,2858
687a5e5d9b36b04cf0b805a4,2012,2765
687a5e5d9b36b04cf0b805a4,2011,2725
687a5e5d9b36b04cf0b805a4,2010,2540
687a5e5d9b36b04cf0b805a5,2024,3491
