plaza_id,state_slug,u1_carretera_id,u2_caseta_name,u2_carretera_raw,ruta,match_method
68798c739b36b04cf0b7c214,michoacan,761,Cuitzeo,Morelia-Salamanca,MEX-043D,tematico_parent
68798c739b36b04cf0b7c25f,michoacan,734,Cuto,Cuitzeo - Pátzcuaro,MEX-014D,tematico_parent
68798c739b36b04cf0b7c260,michoacan,734,Chapultepec,Cuitzeo - Pátzcuaro,MEX-014D,tematico_parent
68798c739b36b04cf0b7bfe9,morelos,788,Central de Abastos,Cuernavaca-Acapulco,MEX-095D,tematico_parent
68798c739b36b04cf0b7bfea,morelos,804,Aeropuerto,Cuernavaca-Acapulco,MEX-095D,tematico_parent
68798c739b36b04cf0b7bfeb,morelos,788,Xochitepec,Cuernavaca-Acapulco,MEX-095D,tematico_parent
68798c739b36b04cf0b7bfec,morelos,788,Ing. Francisco Velasco Durán,Cuernavaca-Acapulco,MEX-095D,tematico_parent
68798c739b36b04cf0b7bfed,morelos,788,Alpuyeca,Cuernavaca-Acapulco,MEX-095D,tematico_parent
68798c739b36b04cf0b7c086,morelos,801,Tres Marías,México-Cuernavaca,MEX-095D,tematico_parent
68798c739b36b04cf0b7c087,morelos,805,Tepoztlán,La Pera-Cuautla,MEX-160D,tematico_parent
68798c739b36b04cf0b7c089,morelos,805,Oacalco,La Pera-Cuautla,MEX-160D,tematico_parent
68798c739b36b04cf0b7c2b0,morelos,813,Tlaltizapán,Jantetelco-El Higuerón,MEX-094D,tematico_parent
68798c739b36b04cf0b7bfd6,nayarit,872,Ent. Trapichillo,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bfd7,nayarit,873,Trapichillo,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bfd8,nayarit,873,Yago,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bfda,nayarit,873,Estación Ruíz,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bfdd,nayarit,837,Acaponeta,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bfe0,nayarit,873,Rosario,Tepic-Mazatlán,MEX-015D,tematico_parent
68798c739b36b04cf0b7bffa,nayarit,840,Santa Ma. Del Oro,Guadalajara-Tepic,MEX-015D,tematico_parent
68798c739b36b04cf0b7c25e,nayarit,841,La Cantera,Libramiento de Tepic,MEX-015D,tematico_parent
68798c739b36b04cf0b7c267,nayarit,858,Amado Nervo,Jala - Las Caleras,MEX-070D,tematico_parent
68798c739b36b04cf0b7c268,nayarit,869,Compostela II,Tepic - Puerto Vallarta,MEX-200D,tematico_parent
68798c739b36b04cf0b7c269,nayarit,869,La Peñita,Tepic - Puerto Vallarta,MEX-200D,tematico_parent
68798c739b36b04cf0b7c2a7,nayarit,872,San Blas,Tepic-San Blas,MEX-D,tematico_parent
68798c739b36b04cf0b7c2c0,nayarit,871,Bucerías,Ramal a Bucerías,MEX-200D,tematico_parent
68798c739b36b04cf0b7c2e4,nayarit,836,Compostela,Chapalilla-Compostela,MEX-D,tematico_parent
68798c739b36b04cf0b7c009,nuevo leon,886,Agualeguas,Monterrey-Nuevo Laredo,MEX-085D,tematico_parent
68798c739b36b04cf0b7c00b,nuevo leon,886,Sabinas,Monterrey-Nuevo Laredo,MEX-085D,tematico_parent
68798c739b36b04cf0b7c00d,nuevo leon,881,Sabinas Parás,Monterrey-Nuevo Laredo,MEX-085D,tematico_parent
68798c739b36b04cf0b7c00e,nuevo leon,887,Entronque Ex-Garita,Monterrey-Nuevo Laredo,MEX-085D,tematico_parent
68798c739b36b04cf0b7c00f,nuevo leon,885,Puente Inter. Solidaridad en Colombia,Monterrey-Colombia (LIBRE),NL-001,tematico_parent
68798c739b36b04cf0b7c049,nuevo leon,875,Los Ramones,Cadereyta-La Sierrita,MEX-040D,tematico_parent
68798c739b36b04cf0b7c04d,nuevo leon,911,Los Herrera,Cadereyta-La Sierrita,MEX-040D,tematico_parent
68798c739b36b04cf0b7c051,nuevo leon,875,General Bravo,Cadereyta-La Sierrita,MEX-040D,tematico_parent
68798c739b36b04cf0b7c052,nuevo leon,902,Dr. Coss,Cadereyta-La Sierrita,MEX-040D,tematico_parent
68798c739b36b04cf0b7c079,nuevo leon,894,Los Chorros,Puerto  México-Ent. Ojo Caliente,MEX-057D,tematico_parent
68798c739b36b04cf0b7c102,nuevo leon,890,Puente Inter. Nuevo Amanecer,Monterrey-Reynosa (LIBRE),MEX-040,name_match
68798c739b36b04cf0b7c108,nuevo leon,890,Puente Inter. Ignacio Zaragoza (Los Tomates),Monterrey-Reynosa (LIBRE),MEX-040,name_match
68798c739b36b04cf0b7c240,nuevo leon,923,Playa 3,Saltillo - Monterrey y Libramiento Norponiente de Saltillo,MEX-040D,tematico_parent
68798c739b36b04cf0b7c251,nuevo leon,890,"Puente Inter. Reynosa - McAllen ""Anzalduas""",Monterrey-Reynosa (LIBRE),MEX-040,name_match
68798c739b36b04cf0b7c2d4,nuevo leon,890,Puente Inter. Reynosa,Monterrey-Reynosa (LIBRE),MEX-040,name_match
68798c739b36b04cf0b7c2d7,nuevo leon,890,Puente Cadereyta,Monterrey-Reynosa (LIBRE),MEX-040,tematico_parent
68798c739b36b04cf0b7c2e9,nuevo leon,891,Puente Inter. Laredo (Las Américas),Monterrey-Nuevo Laredo (LIBRE),MEX-085,tematico_parent
68798c739b36b04cf0b7c2ea,nuevo leon,891,Puente Inter. Juárez-Lincoln,Monterrey-Nuevo Laredo (LIBRE),MEX-085,tematico_parent
68798c739b36b04cf0b7bfce,oaxaca,953,Tehuantepec,La Ventosa-Salina Cruz,MEX-185D,tematico_parent
68798c739b36b04cf0b7bfcf,oaxaca,953,Ixtepec,La Ventosa-Salina Cruz,MEX-185D,tematico_parent
68798c739b36b04cf0b7c2cb,oaxaca,929,Puente Papaloapan,Cd. Alemán-Sayula (LIBRE),MEX-145,tematico_parent
68798c739b36b04cf0b7c2cc,oaxaca,945,Puente Caracol,Buenavista-Tuxtepec (LIBRE),MEX-175,tematico_parent
68798c739b36b04cf0b7c2e7,oaxaca,945,Puente Tlacotalpan,Buenavista-Tuxtepec (LIBRE),MEX-175,tematico_parent
68798c739b36b04cf0b7c2ee,oaxaca,927,Tehuacán,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
68798c739b36b04cf0b7c2ef,oaxaca,927,Miahuatlán,Cuacnopalan-Oaxaca,MEX-135D,tematico_parent
