movement_id,plaza_id,caseta,cve,carretera,ruta,movimiento,km,sen,lat,lon,x_pg,y_pg,zona_geo,estado,vta_2024,pct_A,pct_AR,pct_B,pct_C2,pct_C3,pct_C4,pct_C5,pct_C6,pct_C7,pct_C8,pct_C9,pct_VNC,pct_M,rubro
68798c739b36b04cf0b7c2f8,68798c739b36b04cf0b7c2f6,El Hongo,044-03,Mexicali-Tijuana,MEX-002D,Rumorosa-El Hongo,92.36,0,32.522478,-116.319838,563878.59365344,3598554.6697528,11S,Baja California,81268,92.9,0,1.4,2.2,0.4,0.2,1.9,0.3,0,0,0.2,0,0.5,casetas
68798c739b36b04cf0b7c2fb,68798c739b36b04cf0b7c2f9,Tijuana,045-03,Mexicali-Tijuana,MEX-002D,Ent. Esperanza-Ent. Sandoval (Aux. 2),122.8,0,32.551618,-116.621131,535570.40537394,3601644.3225271,11S,Baja California,1885200,85.4,0.6,1.1,3.1,0.8,0.3,4.7,0.7,0.1,0,1.9,0.8,0.5,casetas
68798c739b36b04cf0b7c2fa,68798c739b36b04cf0b7c2f9,Tijuana,045-02,Mexicali-Tijuana,MEX-002D,Ent. Tecate-Paso del Águila (Aux. 1),130.5,0,32.525887,-116.690211,529093.0422241,3598771.0019768,11S,Baja California,707829,73.7,0.8,0.3,3.8,2.4,1.5,13.4,1.7,0.1,0,0.8,1.1,0.4,casetas
68798c739b36b04cf0b7c2fc,68798c739b36b04cf0b7c2f9,Tijuana,045-04,Mexicali-Tijuana,MEX-002D,Paso del Águila-Tijuana,130.5,0,32.526983,-116.693112,528820.25120678,3598891.7078594,11S,Baja California,150879,58.6,0.1,0,1.9,2.2,0.1,36.8,0,0,0,0.3,0,0,casetas
68798c739b36b04cf0b7c2fd,68798c739b36b04cf0b7c2f9,Tijuana,045-05,Mexicali-Tijuana,MEX-002D,Ent. Planta Dart-Tijuana,137.8,0,32.542978,-116.758289,522695.35396479,3600649.0336074,11S,Baja California,55660,86.5,0,0,0.7,1.1,1.4,8.6,0.1,0,0,0.1,0,1.5,casetas
68798c739b36b04cf0b7c2f9,68798c739b36b04cf0b7c2f9,Tijuana,045-01,Mexicali-Tijuana,MEX-002D,Tecate-Tijuana,147.6,0,32.545717,-116.852059,513890.42607208,3600936.5528033,11S,Baja California,3954893,74.9,0.5,1.4,4.3,2,0.7,11.2,0.7,0.1,0,2.5,1.3,0.4,casetas
68798c739b36b04cf0b7bfc7,68798c739b36b04cf0b7bfc7,Aeropuerto los Cabos,047-02,Aeropuerto los Cabos-San José del Cabo,MEX-001D,Cabo San Lucas-Aeropuerto los Cabos,105.1,0,23.150478,-109.740558,628933.24708883,2560734.9595902,12Q,Baja California Sur,382233,99.2,0,0.1,0.4,0.1,0,0,0,0,0,0,0,0.2,casetas
68798c739b36b04cf0b7bfc8,68798c739b36b04cf0b7bfc7,Aeropuerto los Cabos,047-03,Aeropuerto los Cabos-San José del Cabo,MEX-001D,El Mangle-Aeropuerto los Cabos,105.1,0,23.15046,-109.740628,628926.09737912,2560732.904678,12Q,Baja California Sur,482316,93.3,0,0.7,1.7,0.9,0,1.2,0.9,0,0,1.2,0,0.1,casetas
68798c739b36b04cf0b7c2ff,68798c739b36b04cf0b7bfc7,Aeropuerto los Cabos,047-01,Aeropuerto los Cabos-San José del Cabo,MEX-001D,San José del Cabo-Aeropuerto los Cabos,105.1,0,23.150467,-109.7405,628939.19593364,2560733.7929935,12Q,Baja California Sur,657333,99.1,0,0.6,0.2,0,0,0,0,0,0,0,0,0.1,casetas
68798c739b36b04cf0b7bfc9,68798c739b36b04cf0b7bfc9,San José del Cabo,048-01,Aeropuerto los Cabos-San José del Cabo,MEX-001D,Aeropuerto los Cabos-San José del Cabo,110.21,0,23.049876,-109.719565,631180.29670606,2549615.0004129,12Q,Baja California Sur,919589,99,0,0.8,0.1,0,0,0,0,0,0,0,0,0.1,casetas
68798c739b36b04cf0b7bfca,68798c739b36b04cf0b7bfc9,San José del Cabo,048-02,Aeropuerto los Cabos-San José del Cabo,MEX-001D,Cabo San Lucas-San José del Cabo,110.21,0,23.049911,-109.719561,631180.67263952,2549618.8791895,12Q,Baja California Sur,128884,98.1,0,0.7,0.6,0.1,0,0,0,0,0,0,0,0.5,casetas
68798c739b36b04cf0b7bfcb,68798c739b36b04cf0b7bfc9,San José del Cabo,048-03,Aeropuerto los Cabos-San José del Cabo,MEX-001D,El Mangle-San José del Cabo,110.21,0,23.049977,-109.719555,631181.22345826,2549626.1920707,12Q,Baja California Sur,449395,93.2,0,1.3,2.5,1.2,0,0.9,0.4,0.1,0,0.1,0,0.3,casetas
68798c739b36b04cf0b7c261,68798c739b36b04cf0b7c261,Cabo San Lucas,293-01,San José del Cabo - Cabo San Lucas,MEX-001D,San José del Cabo-Cabo San Lucas,25,0,22.924285,-109.917251,611028.19786651,2535546.828992,12Q,Baja California Sur,79900,97.6,0,1.1,0.6,0.1,0,0,0,0,0,0,0,0.6,casetas
68798c739b36b04cf0b7c262,68798c739b36b04cf0b7c261,Cabo San Lucas,293-02,San José del Cabo - Cabo San Lucas,MEX-001D,Aeropuerto los Cabos-Cabo San Lucas,25,0,22.924275,-109.917286,611024.61671626,2535545.6954438,12Q,Baja California Sur,377746,96.7,0,1.2,1.1,0.3,0,0.3,0.1,0,0,0,0,0.3,casetas
68798c739b36b04cf0b7c263,68798c739b36b04cf0b7c261,Cabo San Lucas,293-03,San José del Cabo - Cabo San Lucas,MEX-001D,El Mangle-Cabo San Lucas,25,0,22.924265,-109.917324,611020.72791115,2535544.5596317,12Q,Baja California Sur,19224,97.6,0,0.4,0.7,0.4,0,0.2,0.1,0,0,0,0,0.6,casetas
68798c739b36b04cf0b7c264,68798c739b36b04cf0b7c264,El Mangle,294-01,Ramal a el Mangle,MEX-001D,San José del Cabo-El Mangle,9,0,22.953954,-109.973941,605191.6654475,2538789.8451219,12Q,Baja California Sur,195643,96.8,0,0.1,1.8,0.4,0.1,0.3,0.1,0,0,0,0,0.4,casetas
68798c739b36b04cf0b7c265,68798c739b36b04cf0b7c264,El Mangle,294-02,Ramal a el Mangle,MEX-001D,Aeropuerto los Cabos-El Mangle,9,0,22.953961,-109.973949,605190.8398123,2538790.6143734,12Q,Baja California Sur,257844,86.3,0,0.6,3.4,2,0.2,3.3,1.6,0.2,0,2.2,0,0.2,casetas
68798c739b36b04cf0b7c266,68798c739b36b04cf0b7c264,El Mangle,294-03,Ramal a el Mangle,MEX-001D,Cabo San Lucas-El Mangle,9,0,22.953957,-109.973937,605192.0732387,2538790.1801209,12Q,Baja California Sur,23982,98,0,0.5,0.6,0.2,0,0.2,0.1,0,0,0,0,0.4,casetas
68798c739b36b04cf0b7c045,68798c739b36b04cf0b7c045,Seybaplaya,130-01,Champotón-Campeche,MEX-180D,Villa Madero-Campeche,32,0,19.636235,-90.671582,744171.6876227,2172895.7865034,15Q,Campeche,2858059,63.3,0,2.7,4.4,3.8,0.8,13.7,1.9,0.2,0,7.9,0,1.3,casetas
68798c739b36b04cf0b7c046,68798c739b36b04cf0b7c045,Seybaplaya,130-02,Champotón-Campeche,MEX-180D,Villa Madero-Seybaplaya,32,0,19.636176,-90.671493,744181.11396449,2172889.3812096,15Q,Campeche,37287,80.2,0,1.1,4.7,2.6,0.3,3.5,2.7,0.1,0,1,0,3.8,casetas
68798c739b36b04cf0b7c047,68798c739b36b04cf0b7c045,Seybaplaya,130-03,Champotón-Campeche,MEX-180D,Seybaplaya-Campeche,32,0,19.637521,-90.672699,744052.55733413,2173036.5801802,15Q,Campeche,454804,85.5,0,2.4,2.5,1.4,0.1,0.5,0.4,0,0,0.2,0,7,casetas
