caseta_mongo_id,state_slug,caseta_name,cve,carretera,ruta,movimiento,tdpa_2024,lat,lon,rubro
68798c739b36b04cf0b7c2e5,chiapas,Puente Inter. Rodolfo Robles,029,Ramal A Cd.Hidalgo (LIBRE),MEX,Cd. Hidalgo-Tecún Umán,2049,14.702151,-92.151378,casetas
68798c739b36b04cf0b7c2fe,chiapas,Puente Inter. Shuchiate II (Ing. Luis Cabrera),046,T. C. (Tapachula-Pto. Madero)-Cd. Hidalgo,MEX,Hidalgo-Tecún Umán,496,14.67701,-92.149716,casetas
68798c739b36b04cf0b7bfe3,chihuahua,Villa Ahumada,063,El Sueco-Cd. Juárez,MEX-045,El Sueco-Villa Ahumada,8162,30.437059,-106.521897,casetas
68798c739b36b04cf0b7bff4,chihuahua,Puente Inter. Zaragoza-Ysleta,075,El Sueco-Cd. Juárez (LIBRE),MEX-045,Zaragoza-Ysleta,6912,31.670809,-106.340673,casetas
68798c739b36b04cf0b7bffd,chihuahua,Camargo,080,Jiménez-Chihuahua,MEX-045D,Jiménez-Camargo,6557,27.24496,-104.933154,casetas
68798c739b36b04cf0b7bffe,chihuahua,Altavista,081,Jiménez-Chihuahua,MEX-045D,Camargo-Conchos,7456,27.730871,-105.197567,casetas
68798c739b36b04cf0b7bfff,chihuahua,Saucillo,082,Jiménez-Chihuahua,MEX-045D,Conchos-Delicias,9398,28.046417,-105.329309,casetas
68798c739b36b04cf0b7c0ff,chihuahua,Bermejillo,189,Gómez Palacio-Corralitos,MEX-049D,Gómez Palacio-Est.Banderas,5615,25.923705,-103.622079,casetas
68798c739b36b04cf0b7c100,chihuahua,Ceballos,190,Gómez Palacio-Corralitos,MEX-049D,Est. Banderas-Corralitos,5692,26.586801,-104.057535,casetas
68798c739b36b04cf0b7c271,chihuahua,Puente Inter. Guadalupe - Tornillo,302,Porvenir - Cd. Juárez,MEX-002,Guadalupe-Tornillo,1996,31.431005,-106.151683,casetas
68798c739b36b04cf0b7c2ad,chihuahua,Jiménez,324,Libramiento Oriente de Chihuahua,MEX-045D,Ent. Jiménez-Ent. Aldama,3932,28.603444,-105.95144,casetas
